States,Market,Type,Link
TX,"Plano, TX",Code Violation,https://data.plano.gov/datasets/code-enforcement-complaints
MD,"Baltimore, MD",Code Violation,https://sdat.dat.maryland.gov/RealProperty/Pages/default.aspx
OH,"Cleveland, OH",Code Violation,https://data.clevelandohio.gov/datasets/code-enforcement-violations
PA,"Pittsburgh, PA",Code Violation,https://data.wprdc.org/dataset/pli-violations
MI,"Detroit, MI",Code Violation,https://data.detroitmi.gov/datasets/detroit-blight-violations
MO,"St. Louis, MO",Code Violation,https://www.stlouis-mo.gov/data/datasets/code-violations.cfm
IN,"Gary, IN",Code Violation,https://data.in.gov/dataset/code-enforcement-violations-gary
AL,"Birmingham, AL",Code Violation,https://www.birminghamal.gov/departments/neighborhood-services/code-enforcement
LA,"Baton Rouge, LA",Code Violation,https://data.brla.gov/Housing-and-Land-Use/Code-Enforcement/i4ni-tkzx/about_data
TX,"Harris County, TX",Tax Delinquency,https://www.hctax.net/Property/DelinquentTax
AZ,"Maricopa County, AZ",Tax Delinquency,https://treasurer.maricopa.gov/parcel-taxes/tax-lien-sale
FL,"Miami-Dade County, FL",Tax Delinquency,https://www.miamidade.gov/taxcollector/tax-certificate.asp
NJ,New Jersey,Tax Delinquency,https://www.njleg.state.nj.us/Bills/2022/PL22/48_.HTM
SC,"Richland County, SC",Tax Delinquency,https://www.richlandcountysc.gov/Departments/Treasurer/Delinquent-Taxes
GA,"Fulton County, GA",Tax Delinquency,https://www.fultoncountyga.gov/services/taxes/delinquent-tax-list
LA,"Orleans Parish, LA",Tax Delinquency,https://sfno.org/tax-sale
MS,Mississippi,Tax Delinquency,https://www.ms.gov/dor/prop_tax/delinquent_property_tax.jsp
IN,"Indianapolis, IN",Tax Delinquency,https://www.indy.gov/agency/department-of-code-enforcement
KS,Kansas,Tax Delinquency,https://www.ksrevenue.gov/prsaleprop.html
FL,"Alachua County, FL",Foreclosures,https://alachua.realforeclose.com/
FL,"Baker County, FL",Foreclosures,https://baker.realforeclose.com/
FL,"Bay County, FL",Foreclosures,https://bay.realforeclose.com/
FL,"Bradford County, FL",Foreclosures,https://bradford.realforeclose.com/
FL,"Brevard County, FL",Foreclosures,https://brevard.realforeclose.com/
FL,"Calhoun County, FL",Foreclosures,https://calhoun.realforeclose.com/
FL,"Charlotte County, FL",Foreclosures,https://charlotte.realforeclose.com/
FL,"Citrus County, FL",Foreclosures,https://citrus.realforeclose.com/
FL,"Clay County, FL",Foreclosures,https://clay.realforeclose.com/
FL,"Columbia County, FL",Foreclosures,https://columbia.realforeclose.com/
FL,"DeSoto County, FL",Foreclosures,https://desoto.realforeclose.com/
FL,"Dixie County, FL",Foreclosures,https://dixie.realforeclose.com/
FL,"Escambia County, FL",Foreclosures,https://escambia.realforeclose.com/
FL,"Flagler County, FL",Foreclosures,https://flagler.realforeclose.com/
FL,"Franklin County, FL",Foreclosures,https://franklin.realforeclose.com/
FL,"Gadsden County, FL",Foreclosures,https://gadsden.realforeclose.com/
FL,"Gilchrist County, FL",Foreclosures,https://gilchrist.realforeclose.com/
FL,"Glades County, FL",Foreclosures,https://glades.realforeclose.com/
FL,"Gulf County, FL",Foreclosures,https://gulf.realforeclose.com/
FL,"Hamilton County, FL",Foreclosures,https://hamilton.realforeclose.com/
FL,"Hardee County, FL",Foreclosures,https://hardee.realforeclose.com/
FL,"Hendry County, FL",Foreclosures,https://hendry.realforeclose.com/
FL,"Hernando County, FL",Foreclosures,https://hernando.realforeclose.com/
FL,"Highlands County, FL",Foreclosures,https://highlands.realforeclose.com/
FL,"Holmes County, FL",Foreclosures,https://holmes.realforeclose.com/
FL,"Indian River County, FL",Foreclosures,https://indianriver.realforeclose.com/
FL,"Jackson County, FL",Foreclosures,https://jackson.realforeclose.com/
FL,"Jefferson County, FL",Foreclosures,https://jefferson.realforeclose.com/
FL,"Lafayette County, FL",Foreclosures,https://lafayette.realforeclose.com/
FL,"Lake County, FL",Foreclosures,https://lake.realforeclose.com/
FL,"Lee County, FL",Foreclosures,https://lee.realforeclose.com/
FL,"Leon County, FL",Foreclosures,https://leon.realforeclose.com/
FL,"Levy County, FL",Foreclosures,https://levy.realforeclose.com/
FL,"Liberty County, FL",Foreclosures,https://liberty.realforeclose.com/
FL,"Madison County, FL",Foreclosures,https://madison.realforeclose.com/
FL,"Manatee County, FL",Foreclosures,https://manatee.realforeclose.com/
FL,"Marion County, FL",Foreclosures,https://marion.realforeclose.com/
FL,"Martin County, FL",Foreclosures,https://martin.realforeclose.com/
FL,"Miami-Dade County, FL",Foreclosures,https://miamidade.realforeclose.com/
FL,"Monroe County, FL",Foreclosures,https://monroe.realforeclose.com/
FL,"Nassau County, FL",Foreclosures,https://nassau.realforeclose.com/
FL,"Okaloosa County, FL",Foreclosures,https://okaloosa.realforeclose.com/
FL,"Okeechobee County, FL",Foreclosures,https://okeechobee.realforeclose.com/
FL,"Orange County, FL",Foreclosures,https://orange.realforeclose.com/
FL,"Putnam County, FL",Foreclosures,https://putnam.realforeclose.com/
FL,"Santa Rosa County, FL",Foreclosures,https://santarosa.realforeclose.com/
FL,"St. Johns County, FL",Foreclosures,https://stjohns.realforeclose.com/
FL,"St. Lucie County, FL",Foreclosures,https://stlucie.realforeclose.com/
FL,"Sumter County, FL",Foreclosures,https://sumter.realforeclose.com/
FL,"Suwannee County, FL",Foreclosures,https://suwannee.realforeclose.com/
FL,"Taylor County, FL",Foreclosures,https://taylor.realforeclose.com/
FL,"Union County, FL",Foreclosures,https://union.realforeclose.com/
FL,"Wakulla County, FL",Foreclosures,https://wakulla.realforeclose.com/
FL,"Walton County, FL",Foreclosures,https://walton.realforeclose.com/
FL,"Washington County, FL",Foreclosures,https://washington.realforeclose.com/
TX,"Harris County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://harris.tx.publicsearch.us/
TX,"Dallas County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://dallas.tx.publicsearch.us/
TX,"Tarrant County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://tarrant.tx.publicsearch.us/
TX,"Travis County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://travis.tx.publicsearch.us/
TX,"Collin County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://collin.tx.publicsearch.us/
TX,"Denton County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://denton.tx.publicsearch.us/
TX,"El Paso County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://elpaso.tx.publicsearch.us/
TX,"Hidalgo County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://hidalgo.tx.publicsearch.us/
TX,"Williamson County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://williamson.tx.publicsearch.us/
TX,"Cameron County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://cameron.tx.publicsearch.us/
TX,"Nueces County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://nueces.tx.publicsearch.us/
TX,"Montgomery County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://montgomery.tx.publicsearch.us/
TX,"Lubbock County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://lubbock.tx.publicsearch.us/
TX,"Webb County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://webb.tx.publicsearch.us/
TX,"Jefferson County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://jefferson.tx.publicsearch.us/
TX,"McLennan County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://mclennan.tx.publicsearch.us/
TX,"Smith County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://smith.tx.publicsearch.us/
TX,"Brazoria County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://brazoria.tx.publicsearch.us/
TX,"Galveston County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://galveston.tx.publicsearch.us/
TX,"Fort Bend County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://fortbend.tx.publicsearch.us/
GA,"Fulton County, GA",Foreclosures,https://www.fultoncountyga.gov/services/sheriff/real-estate-foreclosure-sales
GA,"DeKalb County, GA",Foreclosures,https://www.dekalbsheriff.org/real-estate-sales
GA,"Gwinnett County, GA",Foreclosures,https://www.gwinnettcounty.com/web/gwinnett/departments/sheriff/realestate
GA,"Cobb County, GA",Foreclosures,https://www.cobbsheriff.org/divisions/civil/real-estate-sales
GA,"Clayton County, GA",Foreclosures,https://www.claytoncountyga.gov/government/sheriff/real-estate-sales
GA,"Chatham County, GA",Foreclosures,https://www.chathamcounty.org/Government/Sheriff/Real-Estate-Sales
GA,"Cherokee County, GA",Foreclosures,https://www.cherokeega.com/sheriff/real-estate-sales/
GA,"Hall County, GA",Foreclosures,https://www.hallcounty.org/440/Real-Estate-Sales
GA,"Henry County, GA",Foreclosures,https://www.henrycountyga.gov/1100/Real-Estate-Sales
GA,"Richmond County, GA",Foreclosures,https://www.augustaga.gov/2058/Real-Estate-Sales
OH,"Cuyahoga County, OH",Foreclosures,https://oh-cuyahoga-sheriff.civicplus.com/276/Real-Estate-Foreclosures
OH,"Franklin County, OH",Foreclosures,https://sheriff.franklincountyohio.gov/Real-Estate/Sheriff-Sales
OH,"Hamilton County, OH",Foreclosures,https://www.hcso.org/index.cfm/real-estate/sheriff-sales/
OH,"Summit County, OH",Foreclosures,https://www.sheriff.summitoh.net/index.php/sheriff-sales
OH,"Lucas County, OH",Foreclosures,https://www.lucascountyohio.gov/Sheriff/Real-Estate-Sales
OH,"Montgomery County, OH",Foreclosures,https://www.sheriff.montcounty.org/real-estate-sales
OH,"Stark County, OH",Foreclosures,https://www.sheriff.co.stark.oh.us/real-estate/
OH,"Lorain County, OH",Foreclosures,https://www.loraincountysheriff.com/real-estate-sales/
OH,"Butler County, OH",Foreclosures,https://www.butlersheriff.org/services/real-estate
OH,"Lake County, OH",Foreclosures,https://www.lakecountyohio.gov/sheriff/real-estate-sales/
MI,"Wayne County, MI",Tax Delinquency,https://www.waynecounty.com/elected/treasurer/foreclosure.aspx
MI,"Oakland County, MI",Tax Delinquency,https://www.oakgov.com/treasurer/Pages/tax-foreclosure.aspx
MI,"Macomb County, MI",Tax Delinquency,https://www.macombgov.org/treasurer-property-tax-foreclosure
MI,"Kent County, MI",Tax Delinquency,https://www.accesskent.com/Departments/Treasurer/taxForeclosure.htm
MI,"Genesee County, MI",Tax Delinquency,https://www.geneseecounty.com/Tax-Foreclosures
MI,"Ingham County, MI",Tax Delinquency,https://www.ingham.org/Treasurer/PropertyTaxForeclosure.htm
MI,"Washtenaw County, MI",Tax Delinquency,https://www.washtenaw.org/2100/Tax-Foreclosure
AZ,"Maricopa County, AZ",Foreclosures,https://recorder.maricopa.gov/recdocdata/
AZ,"Pima County, AZ",Foreclosures,https://recorder.pima.gov/public-search/
AZ,"Pinal County, AZ",Foreclosures,https://recorder.pinalcountyaz.gov/RecorderPro/PublicSearch
AZ,"Yavapai County, AZ",Foreclosures,https://www.yavapaiaz.gov/recorder/Property-Records-Search
AZ,"Mohave County, AZ",Foreclosures,https://apps.mohavecounty.us/recorder/
AZ,"Coconino County, AZ",Foreclosures,https://www.coconino.az.gov/recorder
NV,"Clark County, NV",Foreclosures,https://clark.nv.publicsearch.us/
NV,"Washoe County, NV",Foreclosures,https://www.washoecounty.gov/assessor/
NV,"Clark County, NV",Code Violation,https://www.clarkcountynv.gov/government/departments/code_enforcement/index.php
NC,"Mecklenburg County, NC",Foreclosures,https://www.mecknc.gov/LUESA/CodeEnforcement/Pages/Home.aspx
NC,"Wake County, NC",Foreclosures,https://www.wakegov.com/departments-government/sheriff/divisions/civil-division
NC,"Guilford County, NC",Foreclosures,https://www.guilfordcountync.gov/our-county/sheriff/real-estate-sales
NC,"Forsyth County, NC",Foreclosures,https://www.forsyth.cc/sheriff/real-estate.aspx
NC,"Durham County, NC",Foreclosures,https://www.dconc.gov/county-departments/departments-f-z/sheriff-s-office/civil-process
NC,"Cumberland County, NC",Foreclosures,https://www.co.cumberland.nc.us/county-government/county-departments/sheriff/real-estate-sales
NC,"Buncombe County, NC",Foreclosures,https://www.buncombecounty.org/governing/depts/sheriff/real-estate.aspx
NC,"Gaston County, NC",Foreclosures,https://www.gastonsheriff.org/civil/civil-process/real-estate-sales
SC,"Richland County, SC",Foreclosures,https://www.richlandsheriff.net/287/Real-Estate-Sales
SC,"Charleston County, SC",Foreclosures,https://www.charlestoncounty.org/departments/master-in-equity/sales.php
SC,"Greenville County, SC",Foreclosures,https://www.greenvillecounty.org/apps/ForeclosureSales/
SC,"Spartanburg County, SC",Foreclosures,https://www.spartanburgcounty.org/1066/Foreclosure-Sales
SC,"Lexington County, SC",Foreclosures,https://www.lex-co.com/departments/judicial-services/master-in-equity/sales-list
SC,"York County, SC",Foreclosures,https://www.yorkcountygov.com/749/Foreclosure-Sales
IL,"Cook County, IL",Foreclosures,https://www.cookcountysheriff.org/courts/real-estate-sales/
IL,"DuPage County, IL",Foreclosures,https://www.dupage.org/Sheriff/Real-Estate.php
IL,"Lake County, IL",Foreclosures,https://lakecountyil.gov/1564/Real-Estate-Sales
IL,"Will County, IL",Foreclosures,https://www.willcountyillinois.com/Government/Sheriff/Civil-Division/Real-Estate-Sales
IL,"Kane County, IL",Foreclosures,https://www.countyofkane.org/Sheriff/Pages/Real-Estate-Sales.aspx
IL,"Peoria County, IL",Foreclosures,https://www.peoriacounty.org/sheriff/real-estate-sales
PA,"Philadelphia County, PA",Foreclosures,https://phillysheriff.com/real-estate-sales.html
PA,"Allegheny County, PA",Foreclosures,https://www.alleghenycounty.us/real-estate/sheriff-sales.aspx
PA,"Montgomery County, PA",Foreclosures,https://www.montcopa.org/1303/Sheriff-Sales
PA,"Chester County, PA",Foreclosures,https://www.chesco.org/1559/Sheriff-Sales
PA,"Delaware County, PA",Foreclosures,https://www.co.delaware.pa.us/sheriff/realestate.html
PA,"Bucks County, PA",Foreclosures,https://www.buckscounty.gov/government/rowoffices/sheriffsoffice/sheriffsales
PA,"Lancaster County, PA",Foreclosures,https://www.co.lancaster.pa.us/489/Real-Estate
PA,"Luzerne County, PA",Foreclosures,https://www.luzernecounty.org/government/row-offices/sheriff/real-estate-sales
NJ,"Essex County, NJ",Foreclosures,https://www.essexsheriff.com/real-estate-sales
NJ,"Hudson County, NJ",Foreclosures,https://www.hcsheriff.gov/real-estate-sales
NJ,"Middlesex County, NJ",Foreclosures,https://www.middlesexcountynj.gov/government/departments/sheriff-s-office/real-estate-sales
NJ,"Passaic County, NJ",Foreclosures,https://www.passaicsheriff.com/real-estate-sales
NJ,"Union County, NJ",Foreclosures,https://sheriff.ucnj.org/real-estate
NJ,"Bergen County, NJ",Foreclosures,https://www.bergenso.org/real-estate-sales
NJ,"Camden County, NJ",Foreclosures,https://www.camdensheriff.org/real-estate-sales
NJ,"Ocean County, NJ",Foreclosures,https://www.oceansheriff.org/real-estate-sales
NJ,"Monmouth County, NJ",Foreclosures,https://www.mcsheriff.org/real-estate-sales
NJ,"Burlington County, NJ",Foreclosures,https://www.bcso-nj.org/real-estate-sales
VA,"Fairfax County, VA",Foreclosures,https://www.fairfaxcounty.gov/circuit/land-records-search
VA,"Prince William County, VA",Foreclosures,https://www.pwcgov.org/government/courts/circuit-court-clerk/pages/land-records.aspx
VA,"Loudoun County, VA",Foreclosures,https://www.loudoun.gov/2070/Land-Records
VA,"Chesterfield County, VA",Foreclosures,https://www.chesterfield.gov/1400/Land-Records
VA,"Henrico County, VA",Foreclosures,https://henrico.us/services/land-records/
MD,"Montgomery County, MD",Foreclosures,https://www.montgomerycountymd.gov/circuit-court/foreclosure.html
MD,"Prince Georges County, MD",Foreclosures,https://www.princegeorgescountymd.gov/2024/Foreclosures
MD,"Baltimore County, MD",Foreclosures,https://www.baltimorecountymd.gov/departments/courts/foreclosure.html
MD,"Howard County, MD",Foreclosures,https://www.howardcountymd.gov/circuit-court/foreclosure
MD,"Anne Arundel County, MD",Foreclosures,https://www.aacounty.org/departments/circuit-court/foreclosure
IN,"Marion County, IN",Foreclosures,https://www.indy.gov/agency/office-of-corporation-counsel/foreclosure-listings
IN,"Lake County, IN",Foreclosures,https://www.lakecountyin.org/sheriff/real-estate-sales
IN,"Allen County, IN",Foreclosures,https://www.allencountysheriff.org/real-estate-sales
IN,"St. Joseph County, IN",Foreclosures,https://www.stjocogov.com/sheriff/real-estate-sales
WI,"Milwaukee County, WI",Foreclosures,https://county.milwaukee.gov/EN/Sheriff/Foreclosure-Sales
WI,"Dane County, WI",Foreclosures,https://www.danecounty.gov/government/sheriff/real-estate-foreclosure-sales
WI,"Waukesha County, WI",Foreclosures,https://www.waukeshacounty.gov/sheriff/real-estate-sales/
MN,"Hennepin County, MN",Foreclosures,https://www.hennepin.us/sheriff/civil-process/sheriff-sales
MN,"Ramsey County, MN",Foreclosures,https://www.ramseycounty.us/sheriff/real-estate-sales
MN,"Dakota County, MN",Foreclosures,https://www.co.dakota.mn.us/Government/PublicSafety/Sheriff/Pages/sales.aspx
MN,"Anoka County, MN",Foreclosures,https://www.anokacounty.us/315/Sheriff-Sales
CO,"Denver County, CO",Foreclosures,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Public-Trustee
CO,"Jefferson County, CO",Foreclosures,https://jeffco.us/sheriff/real-estate-sales
CO,"Arapahoe County, CO",Foreclosures,https://www.arapahoegov.com/1490/Foreclosure-Sales
CO,"Adams County, CO",Foreclosures,https://www.adcogov.org/public-trustee
CO,"El Paso County, CO",Foreclosures,https://www.elpasoco.com/public-trustee/
CO,"Larimer County, CO",Foreclosures,https://www.larimer.org/publictrustee
CO,"Boulder County, CO",Foreclosures,https://www.bouldercounty.org/property-and-land/land-use/public-trustee/
CO,"Weld County, CO",Foreclosures,https://www.weldgov.com/departments/public-trustee
CO,"Douglas County, CO",Foreclosures,https://www.douglas.co.us/public-trustee/
WA,"King County, WA",Foreclosures,https://kingcounty.gov/courts/superior-court/clerk/foreclosures.aspx
WA,"Pierce County, WA",Foreclosures,https://www.co.pierce.wa.us/index.aspx?NID=375
WA,"Snohomish County, WA",Foreclosures,https://snohomishcountywa.gov/2005/Foreclosure-Sales
WA,"Spokane County, WA",Foreclosures,https://www.spokanecounty.org/1034/Real-Estate-Foreclosures
WA,"Clark County, WA",Foreclosures,https://clark.wa.gov/auditor/recording-foreclosures
WA,"Kitsap County, WA",Foreclosures,https://www.kitsapgov.com/sheriff/Pages/civil.aspx
CA,"Los Angeles County, CA",Tax Delinquency,https://ttc.lacounty.gov/avoid-penalties-by-understanding-postmarks/
CA,"Los Angeles County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.lavote.gov/recorder/recorderd.htm
CA,"Orange County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.ocrecorder.com/services/land-records-search
CA,"Riverside County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://riverside.publicsearch.us/
CA,"San Diego County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://arcc.sdcounty.ca.gov/
CA,"Sacramento County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.assessor.saccounty.gov/Pages/document-search.aspx
CA,"Contra Costa County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://contracostarecorder.com/
CA,"Alameda County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://acgov.org/auditor/clerk-recorder/recording.htm
CA,"Fresno County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.co.fresno.ca.us/departments/assessor-recorder
CA,"Kern County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.kerncounty.com/government/assessor-recorder
CA,"San Joaquin County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.sjgov.org/assessorrecorder/
CA,"Stanislaus County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.stancounty.com/acr/
CA,"Merced County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.co.merced.ca.us/assessor
KY,"Jefferson County, KY",Code Violation,https://data.louisvilleky.gov/datasets/code-enforcement-inspections
MO,"St. Louis, MO","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.stlcountycourts.com/CaseNet/default.aspx
AR,"Pulaski County, AR",Foreclosures,https://pulaskiclerkar.gov/news-events/auction-notices/
MS,"Hinds County, MS","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.co.hinds.ms.us/pgs/chancery_clerk.asp
AL,"Jefferson County, AL",Foreclosures,https://jeffersoncountysheriffsoffice.com/departments/civil-process/real-estate-sales
AL,"Mobile County, AL",Foreclosures,https://www.mobileso.com/real-estate-sales
AL,"Madison County, AL",Foreclosures,https://sheriff.madisonal.gov/real-estate-sales
KY,"Fayette County, KY",Foreclosures,https://www.lexingtonsheriff.com/real-estate-sales
KY,"Jefferson County, KY",Foreclosures,https://www.loumetsheriff.gov/services/civil/real-estate-sales
TN,"Hamilton County, TN",Foreclosures,https://www.hamiltontn.gov/sheriff/real-estate.aspx
TN,"Knox County, TN",Foreclosures,https://www.knoxsheriff.org/real-estate-sales
TN,"Rutherford County, TN",Foreclosures,https://www.rutherfordsheriff.org/real-estate-sales
OK,"Oklahoma County, OK",Foreclosures,https://www.oklahomacounty.org/sheriff/real-estate-sales
OK,"Tulsa County, OK",Foreclosures,https://www.tulsacounty.org/sheriff/real-estate-sales
NM,"Bernalillo County, NM",Foreclosures,https://www.bernalillosheriff.com/foreclosure-sales
UT,"Salt Lake County, UT",Foreclosures,https://www.slcounty.org/sheriff/real-estate-sales
UT,"Utah County, UT",Foreclosures,https://www.utahcountyonline.org/Dept/sheriff/real-estate-sales.asp
ID,"Ada County, ID",Foreclosures,https://www.adacounty.id.gov/Sheriff/Civil-Division/Real-Estate-Sales
MT,"Yellowstone County, MT",Foreclosures,https://www.co.yellowstone.mt.gov/sheriff/real-estate-sales
NE,"Douglas County, NE",Foreclosures,https://www.omaha.com/sheriff/real-estate-sales
NE,"Lancaster County, NE",Foreclosures,https://www.lancaster.ne.gov/sheriff/real-estate-sales
KS,"Johnson County, KS",Foreclosures,https://www.jocosheriff.org/real-estate-sales
KS,"Sedgwick County, KS",Foreclosures,https://www.sedgwickcounty.org/sheriff/real-estate-sales
IA,"Polk County, IA",Foreclosures,https://www.polksheriff.org/real-estate-sales
IA,"Linn County, IA",Foreclosures,https://www.linncounty.org/sheriff/real-estate-sales
SD,"Minnehaha County, SD",Foreclosures,https://www.minnehahacounty.org/dept/sr/sheriff.php
ND,"Cass County, ND",Foreclosures,https://www.casscountynd.gov/county/depts/sheriff/real-estate
